year,data_type,value,kind,slope,reg_point,peace_reg_memory,peace_reg,direction_ferme,column_order,avg_loss_mem,avg_loss_no_mem
1748,trade,40122103.95795721,imports,Marseille +1.8%/an,52338279.50441622,90349504.67389138,90349504.67389138,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1749,trade,88233454.24000002,imports,Marseille +1.8%/an,53288695.96900149,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1750,trade,75982636.59665269,imports,Marseille +1.8%/an,54256371.14871281,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1751,trade,67624214.96659152,imports,Marseille +1.8%/an,55241618.446420506,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1752,trade,72536829.71123928,imports,Marseille +1.8%/an,56244756.95611082,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1753,trade,67731312.8675276,imports,Marseille +1.8%/an,57266111.566232726,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1754,trade,74212763.01663025,imports,Marseille +1.8%/an,58306013.064919606,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1755,trade,79420447.92118071,imports,Marseille +1.8%/an,59364798.24712162,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1756,trade,50817634.884949565,imports,Marseille +1.8%/an,60442810.02368539,82562154.1299999,71058722.4729874,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1757,trade,53358505.38187696,imports,Marseille +1.8%/an,61540397.53241262,84872476.49264306,70147837.01797822,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1758,trade,36837276.13591482,imports,Marseille +1.8%/an,62657916.25113535,87247448.20310876,69248627.99456328,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1759,trade,38241410.691821605,imports,Marseille +1.8%/an,63795728.11284683,89688878.3328242,68360945.72524603,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1760,trade,,imports,Marseille +1.8%/an,64954201.62291968,92198626.5761469,67484642.45121136,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1761,trade,47979838.72922086,imports,Marseille +1.8%/an,66133711.978456005,94778604.66693728,66619572.30772985,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1762,trade,58356347.295732476,imports,Marseille +1.8%/an,67334641.18980262,97430777.83477102,65765591.299879216,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1763,trade,89767126.8384973,imports,Marseille +1.8%/an,68557378.20427269,100157166.30190037,64922557.27857506,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1764,trade,85098107.90470757,imports,Marseille +1.8%/an,69802319.03211632,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1765,trade,79928781.17570402,imports,Marseille +1.8%/an,71069866.87477654,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1766,trade,80910757.86589214,imports,Marseille +1.8%/an,72360432.25547408,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1767,trade,86346788.65913217,imports,Marseille +1.8%/an,73674433.15216587,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1768,trade,93173015.27424042,imports,Marseille +1.8%/an,75012295.13291575,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
1769,trade,82762431.8833999,imports,Marseille +1.8%/an,76374451.49372308,,,Marseille,0,Perte memoire-40.0%,Perte -29.8%
